Median Gross Rent(monthly),Total Household Income(yearly),Total population,Transportation To Work,Wage,Health Insurance Coverage,Employment Status,Bedrooms,Total Contract Rent,Total Rent Asked,Total Gross Rent,Aggregate Gross Rent,Median Value,Total Price Asked,Selected Monthly Owner Costs,Monthly Housing Cost,Value Increase Index(17-18)
0.13558318531675548,0.003336704937868096,0.0034494571748392585,0.00012157739152291392,0.0017572999225722765,0.0034488426652321395,0.0034539425980288398,0.003693064191050415,0.0012519498614273236,0.003351232963466283,0.0012519498614273236,0.00020444423608457167,0.9986415293500219,0.0047374757891430665,0.005803504716463387,0.003336704937868096,0.0
0.06275902901124927,0.0011972079108585392,0.001110567080903669,3.824906699597292e-05,0.0006297611489851173,0.0011175365978790912,0.0011405354135567093,0.0015036311851910154,0.0005177194095418547,0.0003694272558151808,0.0005177194095418547,6.49613459990891e-05,0.9986446746514166,0.0,0.002007455886884225,0.0011972079108585392,0.0
0.08584961515689757,0.0021549742395453706,0.002136132190632407,0.0,0.001443985918102069,0.0021476068797537397,0.0020906318980886372,0.0024714529645458996,0.0009888833358854712,0.0013457707176124443,0.0009888833358854712,0.00011036228670658055,0.9986231068704247,0.0036643459142543054,0.003538835278855195,0.0021549742395453706,1.0
0.05210183540556543,0.016178239221259497,0.014723350744059165,0.000248618935473824,0.009812602977501313,0.014544911163909685,0.014912491275663126,0.018908454439376263,0.010477788266784234,0.02097819059807634,0.010477788266784234,0.0018687187198518753,0.9986560576469401,0.04130241323352353,0.022907214013576115,0.016178239221259497,0.0
0.06571936056838365,0.00432360484309293,0.0038489367529919902,4.781133374496615e-05,0.002258993972230197,0.0038600738183828696,0.00391467397978484,0.005039859201036602,0.002981233652995621,0.00324568231894766,0.002981233652995621,0.00041252854759150605,0.9986580047382797,0.009187038685023295,0.005915250449297193,0.00432360484309293,0.0
0.20248667850799287,0.006729249230767363,0.007332038479867892,0.0004521586134166799,0.005400358509549615,0.007366397194702211,0.0073791073807735665,0.00734820254336948,0.0020647076343700624,0.005383082870449777,0.0020647076343700624,0.0006233329154580083,0.9987222587524848,0.014290949065591791,0.012237149571332791,0.006729249230767363,0.0
0.16814683244523385,0.00842779743788403,0.00809755099326634,0.00111605313341821,0.006295653277323234,0.008131976509615816,0.00822071662057913,0.009846460236041297,0.004101369796933956,0.01055506445186231,0.004101369796933956,0.0009660200159347301,0.998704585154172,0.025467204104067425,0.013537102889387595,0.00842779743788403,0.0
0.21018354055654234,0.0007659702831449818,0.0008764405805545572,0.0,0.0004566551615153275,0.0008823338961860503,0.0008724645426287607,0.0014377599916049874,0.00030345200494273395,0.0030609686910400696,0.00030345200494273395,7.43215399423076e-05,0.9986702863913446,0.005103910380568497,0.0013204510560302363,0.0007659702831449818,0.0
0.08525754884547068,0.003628951127514933,0.0034585609948021147,0.0,0.0018779258142933065,0.0034759392916025363,0.0035110866188574033,0.004186955564604528,0.0018953129846608094,0.00034303959468552506,0.0018953129846608094,0.00025872536078947557,0.9986398818111962,0.0014657383657017222,0.005681840723318889,0.003628951127514933,1.0
0.056838365896980464,0.003882352548444434,0.0038984140353988186,4.098114320997099e-05,0.0023815780764791655,0.003919746168367677,0.004015879373044931,0.0049406246756342745,0.0018156638447312933,0.004512290053171137,0.0018156638447312933,0.0002638854677068909,0.9986394324824255,0.0061246924566821966,0.006327850078222013,0.003882352548444434,0.0
