Name,Median Gross Rent(monthly),Total Household Income(yearly),Total population,Transportation To Work,Wage,Health Insurance Coverage,Employment Status,Bedrooms,Total Contract Rent,Total Rent Asked,Total Gross Rent,Aggregate Gross Rent,Median Value,Total Price Asked,Selected Monthly Owner Costs,Monthly Housing Cost,state_id,county_id
NAME,B25031_001E,B19001_001E,B01003_001E,B08141_016E,B19052_002E,C27021_001E,B23025_001E,B25041_001E,B25056_001E,B25061_001E,B25063_001E,B25065_001E,B25077_001E,B25085_001E,B25094_001E,B25104_001E,state,county
"Nelson County, Virginia",698,6445,14812,13,4383,14764,12351,10117,1658,194,1658,959600,243800,201,4787,6445,51,125
"Pittsylvania County, Virginia",696,26330,61676,45,18199,60450,51197,31664,6580,354,6580,4114100,117400,664,19750,26330,51,143
"Norton city, Virginia",592,1819,3990,0,1074,3935,3112,2040,976,57,976,512400,91700,27,843,1819,51,720
"Fluvanna County, Virginia",1124,9842,26282,21,6922,24981,21630,10841,1586,46,1586,1431900,230600,237,8256,9842,51,065
"Amelia County, Virginia",808,4789,12854,61,3444,12761,10402,5543,753,44,753,565200,204400,34,4036,4789,51,007
"Winchester city, Virginia",1011,10554,27789,180,7941,27573,22195,11896,5604,479,5604,5746900,236800,191,4950,10554,51,840
"Accomack County, Virginia",797,13401,32742,119,8637,32432,26638,21251,4308,153,4308,2912700,165000,381,9093,13401,51,001
"Floyd County, Virginia",639,6480,15666,45,4202,15559,12931,8009,1154,168,1154,595500,170000,223,5326,6480,51,063
"Grayson County, Virginia",530,6542,15811,25,3944,14979,13407,9222,1358,174,1358,588400,95100,256,5184,6542,51,077
"Nottoway County, Virginia",775,5542,15500,13,3690,13959,12832,6762,2146,99,2146,1498700,139900,10,3396,5542,51,135
"Harrison County, West Virginia",741,27436,68209,198,18500,67583,55160,31649,7275,646,7275,4657200,113500,587,20161,27436,54,033
"Ohio County, West Virginia",659,17351,42547,214,11881,41970,35436,20965,5360,785,5360,3320600,119400,254,11991,17351,54,069
"Calhoun County, West Virginia",583,2864,7396,17,1590,7373,6089,3983,550,68,550,208200,73500,119,2314,2864,54,013
"Morgan County, West Virginia",728,7166,17624,13,4668,17498,14766,9951,1274,299,1274,798500,179800,310,5892,7166,54,065
"Raleigh County, West Virginia",687,31119,76232,51,20157,73901,62185,36181,8089,981,8089,4545300,105700,455,23030,31119,54,081
"Braxton County, West Virginia",570,5491,14282,0,3536,13934,11830,7433,1142,116,1142,457600,93000,86,4349,5491,54,007
"Barbour County, West Virginia",558,6416,16730,7,4110,16568,13749,7905,1883,125,1883,810600,104800,116,4533,6416,54,001
"McDowell County, West Virginia",529,7711,19217,5,3295,17696,15687,11193,1591,167,1591,465400,33800,311,6120,7711,54,047
"Wayne County, West Virginia",673,15799,40708,89,8753,40561,33179,19296,4044,485,4044,1920900,97800,141,11755,15799,54,099
"Wyoming County, West Virginia",649,8823,21711,0,4701,21629,17816,10896,1553,244,1553,676000,67200,205,7270,8823,54,109
"Jackson County, West Virginia",647,11178,29018,29,6792,28842,23570,13399,2408,186,2408,1278800,121000,187,8770,11178,54,035
"Mercer County, West Virginia",644,24882,60486,44,14485,60043,49533,29986,7206,905,7206,4063500,92200,694,17676,24882,54,055
"Upshur County, West Virginia",663,9378,24605,8,6024,24408,20129,11342,2323,170,2323,1216300,112600,70,7055,9378,54,097
"Webster County, West Virginia",542,3811,8518,0,2157,8463,7038,5442,1079,37,1079,393000,67200,19,2732,3811,54,101
"Berkeley County, West Virginia",971,43237,113495,403,33129,112989,89435,47891,11212,848,11212,10489100,172800,987,32025,43237,54,003
"Fayette County, West Virginia",608,17795,44126,45,11003,43011,36120,21570,3707,512,3707,2000400,90500,359,14088,17795,54,019
"Grant County, West Virginia",572,4556,11641,16,2816,11534,9702,6622,889,178,889,459100,137300,108,3667,4556,54,023
"Hampshire County, West Virginia",622,9663,23363,30,5794,22867,19541,13979,2904,124,2904,1368700,143700,298,6759,9663,54,027
"Summers County, West Virginia",671,5489,13018,0,3048,12070,11081,7706,1417,126,1417,680500,95400,114,4072,5489,54,089
"Brooke County, West Virginia",599,9957,22772,11,6743,22528,19149,10838,2520,135,2520,1258100,92000,90,7437,9957,54,009
"Doddridge County, West Virginia",595,2647,8536,0,1556,7814,7276,3920,354,73,354,95900,116800,90,2293,2647,54,017
"Mineral County, West Virginia",623,11184,27278,99,7358,27052,22491,13144,3135,268,3135,1554000,135100,383,8049,11184,54,057
"Greenbrier County, West Virginia",674,15285,35347,38,9828,34765,29135,19252,4340,314,4340,2506200,120500,254,10945,15285,54,025
"Hardy County, West Virginia",728,5521,13842,18,3945,13785,11268,8253,1541,296,1541,1018600,126400,274,3980,5521,54,031
"Marion County, West Virginia",737,22942,56497,124,15654,56118,46457,26359,5753,539,5753,3796500,112800,441,17189,22942,54,049
"Mingo County, West Virginia",605,10772,24741,0,5610,24657,19915,12814,2802,167,2802,1201500,75800,250,7970,10772,54,059
"Hancock County, West Virginia",659,12697,29680,177,8640,29434,24549,14385,3556,407,3556,2322000,92000,116,9141,12697,54,029
"Lewis County, West Virginia",646,6577,16276,0,4284,16089,13132,7940,1981,163,1981,1093600,104800,46,4596,6577,54,041
"Nicholas County, West Virginia",578,10472,25324,43,6232,25185,20716,13147,2215,141,2215,899700,93100,95,8257,10472,54,067
"Pocahontas County, West Virginia",624,3579,8531,14,2114,8248,7209,8909,663,62,663,276000,124300,73,2916,3579,54,075
"Tyler County, West Virginia",654,3298,8909,0,1841,8833,7377,5008,638,27,638,284300,97400,91,2660,3298,54,095
"Randolph County, West Virginia",643,11254,29065,41,7128,27267,24061,14251,3325,311,3325,1890400,99200,329,7929,11254,54,083
"Taylor County, West Virginia",633,6661,16951,0,4281,16517,13881,7550,1498,115,1498,873400,103600,129,5163,6661,54,091
"Wirt County, West Virginia",501,2499,5797,0,1485,5797,4673,3301,450,8,450,173300,86100,50,2049,2499,54,105
"Clay County, West Virginia",475,3261,8785,19,1856,8739,7027,4621,585,47,585,186700,82100,25,2676,3261,54,015
"Gilmer County, West Virginia",543,2670,8205,11,1632,6912,7145,3541,728,30,728,310400,91300,0,1942,2670,54,021
"Monongalia County, West Virginia",820,38856,105252,1255,29576,103692,89969,44931,17004,2340,17004,14912100,188700,524,21852,38856,54,061
"Monroe County, West Virginia",606,5744,13467,0,3336,13369,11073,7643,1152,73,1152,556500,108100,122,4592,5744,54,063
"Wetzel County, West Virginia",684,5891,15614,5,3429,15514,12840,8158,1191,166,1191,604700,101000,199,4700,5891,54,103
"Cabell County, West Virginia",738,39628,95318,603,25692,93830,78196,46362,14980,1752,14980,10421800,123200,752,24648,39628,54,011
"Kanawha County, West Virginia",735,79437,185710,1671,53962,183858,152568,92463,24759,2214,24759,16326000,112400,2274,54678,79437,54,039
"Pendleton County, West Virginia",534,3154,7056,7,1904,6883,5961,5208,593,39,593,300300,122300,22,2561,3154,54,071
"Preston County, West Virginia",650,12383,33837,76,8522,31037,28003,15134,2080,146,2080,1079600,106800,264,10303,12383,54,077
"Kitsap County, Washington",1176,101662,262475,10562,73709,247858,214355,111801,33968,2292,33968,39907100,299600,1619,67694,101662,53,035
"King County, Washington",1494,865627,2163257,153647,706206,2150148,1765344,917904,371184,16018,371184,566542600,493500,7401,494443,865627,53,033
"Pend Oreille County, Washington",782,5782,13219,7,3429,13105,10987,8214,1239,114,1239,861300,208400,123,4543,5782,53,051
"San Juan County, Washington",986,8025,16473,181,4662,16420,14521,14030,2104,176,2104,1885700,470500,231,5921,8025,53,055
"Whitman County, Washington",776,17910,48593,1006,14261,48344,42093,20624,10185,1307,10185,8515000,208200,106,7725,17910,53,075
"Yakima County, Washington",803,82300,249325,504,62593,246443,182459,88226,30299,1533,30299,23973000,167700,849,52001,82300,53,077
"Cowlitz County, Washington",817,41397,105112,87,27690,104104,83678,44419,14059,540,14059,11920400,197000,486,27338,41397,53,015
"Ferry County, Washington",642,3097,7576,6,1713,7507,6435,4503,827,77,827,435800,172200,74,2270,3097,53,019
"Lewis County, Washington",854,30262,76947,135,19692,76128,62358,34952,9166,504,9166,7635900,191100,608,21096,30262,53,041
"Grays Harbor County, Washington",778,28263,71967,233,17929,69085,58610,36005,9549,458,9549,7282500,168500,587,18714,28263,53,027
"Island County, Washington",1138,34364,81636,960,22958,76076,68293,41556,10553,685,10553,11845200,337800,526,23811,34364,53,029
"Wahkiakum County, Washington",721,1844,4189,26,969,4143,3613,2147,261,5,261,188200,207000,66,1583,1844,53,069
"Franklin County, Washington",891,26316,90660,252,21729,88570,63838,27571,8244,268,8244,7259000,187900,195,18072,26316,53,021
"Grant County, Washington",770,30651,94860,799,23091,94335,69406,36982,11705,1163,11705,8791800,171500,446,18946,30651,53,025
"Whatcom County, Washington",1015,85008,216812,2276,61727,215299,178886,95567,32293,1294,32293,34866500,318400,1218,52715,85008,53,073
"Okanogan County, Washington",681,17527,41638,99,11396,41107,33122,23054,5926,232,5926,3355600,173500,277,11601,17527,53,047
"Kittitas County, Washington",946,18003,44825,331,13482,44375,37944,23393,7646,488,7646,7292500,275000,241,10357,18003,53,037
"Benton County, Washington",933,70983,194168,743,53581,192772,147845,75108,22461,1717,22461,21434900,216900,652,48522,70983,53,005
"Columbia County, Washington",740,1758,4001,4,1032,3946,3350,2158,549,0,549,359500,170800,51,1209,1758,53,013
"Asotin County, Washington",759,9171,22337,30,5866,22131,18314,10022,2722,114,2722,2137500,181800,213,6449,9171,53,003
"Garfield County, Washington",597,997,2224,0,631,2201,1783,1236,298,17,298,175500,139100,42,699,997,53,023
"Mason County, Washington",979,23535,62627,427,14340,61437,51963,33319,5502,526,5502,5029000,216000,513,18033,23535,53,045
"Stevens County, Washington",673,17433,44214,109,10744,43953,35676,21606,3914,345,3914,2527400,187000,440,13519,17433,53,065
"Spokane County, Washington",878,198489,497875,6078,145989,488776,399212,213692,74150,3985,74150,68827300,209000,2703,124339,198489,53,063
"Chelan County, Washington",863,28038,75757,391,19747,75098,59783,37311,9584,1069,9584,8051800,274500,335,18454,28038,53,007
"Rock County, Wisconsin",803,64538,161769,480,48168,160473,127975,68875,20681,769,20681,16627600,139800,461,43857,64538,55,105
"Waushara County, Wisconsin",670,9869,24116,10,6442,22926,20185,15060,1796,189,1796,1078800,143100,222,8073,9869,55,137
"Adams County, Wisconsin",710,8619,20073,10,5012,18974,17470,17672,1491,171,1491,906400,125100,345,7128,8619,55,001
"Bayfield County, Wisconsin",664,6963,14992,120,4471,14887,12684,13306,1200,194,1200,682700,166300,208,5763,6963,55,007
"Lafayette County, Wisconsin",686,6679,16735,13,4927,16652,13132,7265,1591,94,1591,1016800,134600,62,5088,6679,55,065
"Monroe County, Wisconsin",817,17772,45502,29,13223,44652,35224,19848,5269,459,5269,4160800,149400,469,12503,17772,55,081
"Pierce County, Wisconsin",853,15367,41603,23,12262,41329,33964,16495,4248,373,4248,3580100,197500,96,11119,15367,55,093
"Wood County, Wisconsin",696,32245,73274,65,23189,72672,59130,34868,8848,563,8848,6723600,129900,425,23397,32245,55,141
"Ashland County, Wisconsin",636,6546,15712,124,4420,15500,12635,9657,2073,232,2073,1285000,110100,101,4473,6546,55,003
"Calumet County, Wisconsin",764,19567,49807,34,15674,49642,39028,20485,3752,257,3752,2952800,173200,94,15815,19567,55,015
"Florence County, Wisconsin",455,2010,4337,0,1246,4281,3710,4787,306,10,306,128600,130800,141,1704,2010,55,037
"Clark County, Wisconsin",611,12800,34491,4,9172,34017,25464,15151,2843,205,2843,1525200,121300,249,9957,12800,55,019
"Jefferson County, Wisconsin",854,32866,84652,91,25624,84168,68651,35694,9841,617,9841,8194100,184300,347,23025,32866,55,055
"Kenosha County, Wisconsin",896,63423,168330,861,49049,166347,133650,70220,21616,1579,21616,19697000,169000,1274,41807,63423,55,059
"Iron County, Wisconsin",535,3003,5715,9,1851,5609,4999,6019,754,106,754,358300,113100,182,2249,3003,55,051
"St. Croix County, Wisconsin",947,33674,87917,219,27466,87149,68037,35471,8020,308,8020,7705900,233600,278,25654,33674,55,109
"Oconto County, Wisconsin",667,15940,37556,17,11405,37298,30944,24120,2709,195,2709,1658200,155300,278,13231,15940,55,083
"Lincoln County, Wisconsin",650,12547,27848,67,8932,27260,23426,17089,2823,108,2823,1783100,139800,263,9724,12547,55,069
"Waupaca County, Wisconsin",697,22024,51444,51,16105,49990,42256,25717,5635,347,5635,3943400,145600,273,16389,22024,55,135
"Barron County, Wisconsin",669,19108,45252,59,13344,44686,36601,24001,4766,587,4766,3103100,150200,236,14342,19108,55,005
"Sawyer County, Wisconsin",646,7634,16370,125,5091,16093,13461,16338,2040,87,2040,1194500,164700,239,5594,7634,55,113
"Green Lake County, Wisconsin",704,7935,18757,12,5560,18570,15049,10700,1982,176,1982,1532700,142600,286,5953,7935,55,047
"Marquette County, Wisconsin",691,6516,15207,35,4250,15047,12552,9958,1237,93,1237,740700,150300,187,5279,6516,55,077
"Marinette County, Wisconsin",681,18631,40537,29,12459,40067,33820,30719,4721,61,4721,2997100,117100,267,13910,18631,55,075
"Racine County, Wisconsin",855,76384,195398,1398,58119,190880,154976,82611,24562,1489,24562,21324000,169900,734,51822,76384,55,101
"Winnebago County, Wisconsin",744,70173,169926,628,53702,165033,138852,75203,24570,1575,24570,19228000,149500,878,45603,70173,55,139
"Forest County, Wisconsin",495,4029,9018,4,2501,8800,7403,9149,925,160,925,404800,130200,138,3104,4029,55,041
"Grant County, Wisconsin",698,19401,51828,44,14361,50694,42234,22051,5856,605,5856,4012800,144000,370,13545,19401,55,043
"Rusk County, Wisconsin",680,6382,14183,26,4212,14048,11594,9143,1454,161,1454,870200,110400,96,4928,6382,55,107
"Sheboygan County, Wisconsin",706,47303,115205,209,35917,112970,92386,50939,14110,567,14110,10138200,153700,285,33193,47303,55,117
"Langlade County, Wisconsin",629,8594,19164,21,5760,18952,15933,12515,2103,98,2103,1205400,113200,117,6491,8594,55,067
"Outagamie County, Wisconsin",789,72947,184754,605,57587,183418,145721,76437,21465,1066,21465,16988800,163800,846,51482,72947,55,087
"Vernon County, Wisconsin",683,12080,30516,60,8298,30217,23460,14030,2788,77,2788,1735400,152300,267,9292,12080,55,123
"Columbia County, Wisconsin",793,23790,56954,75,18377,55565,46008,26621,6300,593,6300,4961700,187000,256,17490,23790,55,021
"Kewaunee County, Wisconsin",663,8238,20360,28,6023,20233,16446,9414,1713,208,1713,1021900,157700,67,6525,8238,55,061
"Brown County, Wisconsin",772,104133,259786,804,81920,256837,204256,108876,36228,1800,36228,28390300,167000,848,67905,104133,55,009
"Marathon County, Wisconsin",733,55377,135264,307,42843,134237,107771,59078,15046,601,15046,10665100,152000,517,40331,55377,55,073
"Oneida County, Wisconsin",761,15403,35345,40,10225,34822,29982,30914,2465,1010,2465,1765500,167800,258,12938,15403,55,085
"Trempealeau County, Wisconsin",719,11936,29438,25,8870,29061,22943,13043,3305,242,3305,2139100,151400,156,8631,11936,55,121
"Washburn County, Wisconsin",679,7062,15689,30,4544,15506,13000,13229,1460,186,1460,892500,152700,87,5602,7062,55,129
"Dodge County, Wisconsin",799,34605,87776,32,26314,83538,71474,37669,10472,618,10472,8341500,159100,398,24133,34605,55,027
"Walworth County, Wisconsin",861,40372,103013,279,30644,102339,83565,52177,13026,819,13026,11500000,196400,761,27346,40372,55,127
"Crawford County, Wisconsin",605,6618,16288,20,4588,15584,13343,8982,1580,116,1580,942800,131100,122,5038,6618,55,023
"Manitowoc County, Wisconsin",650,34463,79407,118,24830,79001,64966,37428,8572,498,8572,5604200,127200,616,25891,34463,55,071
"Sauk County, Wisconsin",780,26178,63596,45,20066,62880,50731,30295,8163,409,8163,6256800,174500,372,18015,26178,55,111
"Burnett County, Wisconsin",735,7303,15258,15,4623,15127,12844,15485,1387,65,1387,857900,156100,142,5916,7303,55,013
"Chippewa County, Wisconsin",798,25485,63635,24,18906,61275,50817,28220,6946,396,6946,5308200,159000,116,18539,25485,55,017
"Door County, Wisconsin",770,13196,27439,48,9094,27118,23537,24717,2918,1559,2918,2106200,207100,153,10278,13196,55,029
"Douglas County, Wisconsin",748,18920,43402,269,13830,42817,35627,23124,6262,225,6262,4471200,143700,225,12658,18920,55,031
"Jackson County, Wisconsin",668,8083,20506,12,5827,19414,16496,9911,2063,167,2063,1193800,133200,192,6020,8083,55,053
"Iowa County, Wisconsin",762,9835,23620,26,7730,23457,18763,10864,2584,113,2584,1797300,174500,99,7251,9835,55,049
"Ozaukee County, Wisconsin",903,35625,88284,322,27805,87781,71667,37216,8633,415,8633,8303500,273000,185,26992,35625,55,089
"Richland County, Wisconsin",628,7626,17539,61,5432,17403,14104,8943,1868,182,1868,1023500,136800,84,5758,7626,55,103
"Campbell County, Wyoming",940,17488,47708,553,14995,47215,35745,20158,4862,1125,4862,4559000,220200,389,12626,17488,56,005
"Johnson County, Wyoming",881,3828,8515,10,2720,8428,6735,4618,1110,32,1110,1011400,257800,0,2718,3828,56,019
"Natrona County, Wyoming",867,32851,80610,86,25820,79386,63369,36703,10828,1302,10828,9790000,202600,318,22023,32851,56,025
"Converse County, Wyoming",704,5429,13997,239,4311,13944,10868,6654,1521,243,1521,943200,207900,214,3908,5429,56,009
"Niobrara County, Wyoming",652,978,2448,3,653,2142,2086,1377,235,11,235,109600,144900,30,743,978,56,027
"Teton County, Wyoming",1339,9158,23059,569,7522,22995,18983,13680,3871,1187,3871,5091200,827400,109,5287,9158,56,039
"Sweetwater County, Wyoming",868,15871,44117,548,13157,43847,33529,19628,3909,1478,3909,3407600,205800,743,11962,15871,56,037
"Platte County, Wyoming",746,3936,8673,25,2860,8571,7113,4822,1032,169,1032,555800,173700,101,2904,3936,56,031
"Park County, Wyoming",822,11977,29121,49,8726,28904,23980,14324,3386,680,3386,2420700,254800,95,8591,11977,56,029
"Sheridan County, Wyoming",809,13159,30012,10,9858,29572,24230,14779,4224,158,4224,3326400,261500,14,8935,13159,56,033
"Big Horn County, Wyoming",656,4494,11901,0,3226,11668,9218,5461,1225,79,1225,593500,154600,50,3269,4494,56,003
"Crook County, Wyoming",792,2924,7410,35,2120,7339,5785,3650,476,93,476,308500,220200,62,2448,2924,56,011
"Albany County, Wyoming",762,16027,38102,384,13581,37890,32234,19162,8056,958,8056,6358400,226900,136,7971,16027,56,001
"Carbon County, Wyoming",811,6341,15477,34,4926,14709,12173,8755,2010,296,2010,1247200,165700,194,4331,6341,56,007
"Goshen County, Wyoming",724,5209,13438,0,3626,13093,10973,6031,1360,52,1360,866600,168200,204,3849,5209,56,015
"Uinta County, Wyoming",664,7735,20609,338,5998,20416,15176,8972,1913,267,1913,1277300,177500,208,5822,7735,56,041
"Washakie County, Wyoming",628,3422,8129,0,2532,7961,6557,3868,793,255,793,450900,162700,23,2629,3422,56,043
"Hot Springs County, Wyoming",720,2209,4680,8,1476,4579,3839,2565,528,60,528,319100,151800,112,1681,2209,56,017
"Fremont County, Wyoming",787,15003,40076,119,11200,39434,31000,17983,4515,268,4515,3073500,194100,189,10488,15003,56,013
"Sublette County, Wyoming",980,3275,9951,0,2680,9929,7812,5989,621,209,621,487700,272600,95,2654,3275,56,035
"Weston County, Wyoming",788,3062,7100,260,2191,6739,5702,3565,683,59,683,483300,169900,51,2379,3062,56,045
"Hatillo Municipio, Puerto Rico",439,14093,40390,17,6752,40329,33471,16902,3645,442,3645,895700,93500,299,10448,14093,72,065
"Humacao Municipio, Puerto Rico",438,17896,53466,21,8442,53119,44297,26675,4747,751,4747,1447200,95400,637,13149,17896,72,069
"Morovis Municipio, Puerto Rico",510,9943,31320,62,5068,31296,25338,11634,2962,170,2962,684600,100300,138,6981,9943,72,101
"Mayag�ez Municipio, Puerto Rico",419,29912,77255,241,12155,76714,65310,40916,12394,2643,12394,4066900,98700,1004,17518,29912,72,097
"Trujillo Alto Municipio, Puerto Rico",543,23982,67780,288,15323,67497,55696,29351,7989,767,7989,2842700,147300,582,15993,23982,72,139
"Quebradillas Municipio, Puerto Rico",476,8286,24036,0,3797,24030,19760,10399,2889,179,2889,694300,108000,227,5397,8286,72,115
"Moca Municipio, Puerto Rico",421,13278,36872,16,6010,36682,29994,16030,4729,419,4729,987700,96500,114,8549,13278,72,099
"Culebra Municipio, Puerto Rico",497,475,1314,0,211,1314,1077,1541,173,256,173,60000,113500,29,302,475,72,049
"Salinas Municipio, Puerto Rico",429,10374,28633,14,5169,28497,23065,13540,2055,114,2055,591000,85700,249,8319,10374,72,123
"Barceloneta Municipio, Puerto Rico",469,8010,24299,29,3572,24286,19755,10094,2103,341,2103,596600,106200,224,5907,8010,72,017
"Yauco Municipio, Puerto Rico",368,10790,36439,146,4347,36252,30226,17427,2647,562,2647,321700,92000,2024,8143,10790,72,153
"Guaynabo Municipio, Puerto Rico",722,30963,88663,924,18489,88333,75021,39923,8114,940,8114,4594300,177400,1843,22849,30963,72,061
"Cabo Rojo Municipio, Puerto Rico",434,15656,49005,10,6753,48878,40766,29603,6133,268,6133,922600,112400,399,9523,15656,72,023
"Fajardo Municipio, Puerto Rico",520,12231,32001,126,6411,31837,26123,18582,4276,296,4276,1376900,99500,546,7955,12231,72,053
"Patillas Municipio, Puerto Rico",314,6233,17334,0,2665,17319,14326,8844,1945,18,1945,288800,92200,0,4288,6233,72,109
"Rinc�n Municipio, Puerto Rico",447,5128,14269,0,2477,14235,12026,9453,1552,573,1552,290300,121500,280,3576,5128,72,117
"Aguas Buenas Municipio, Puerto Rico",460,8469,26275,145,3735,26165,21717,10762,2804,398,2804,498100,117300,96,5665,8469,72,007
"Bayam�n Municipio, Puerto Rico",570,67940,182955,2506,39521,177645,153182,83260,21687,2760,21687,8341200,134900,2683,46253,67940,72,021
"Cayey Municipio, Puerto Rico",468,16183,44530,99,8127,44494,36828,20037,5680,516,5680,1548200,117400,365,10503,16183,72,035
"Maunabo Municipio, Puerto Rico",375,3882,11023,0,1457,11018,9142,5329,1072,0,1072,160800,89400,0,2810,3882,72,095
"Pe�uelas Municipio, Puerto Rico",427,6987,20984,0,3571,20958,16637,8678,1712,62,1712,314900,75000,146,5275,6987,72,111
"San Sebasti�n Municipio, Puerto Rico",401,13904,37964,45,5406,37826,31318,17847,4920,334,4920,979900,97800,475,8984,13904,72,131
"Toa Alta Municipio, Puerto Rico",631,22032,73405,371,13737,73262,59877,25976,3725,395,3725,1624100,137500,638,18307,22032,72,135
"Vieques Municipio, Puerto Rico",657,2470,8771,0,1011,8771,7042,4934,678,184,678,263200,104200,211,1792,2470,72,147
"Yabucoa Municipio, Puerto Rico",452,11722,34149,0,4745,34101,28146,14736,3232,27,3232,712800,88100,31,8490,11722,72,151
"Caguas Municipio, Puerto Rico",558,48629,131363,632,27837,130769,108527,57739,15245,2012,15245,6184600,131300,1415,33384,48629,72,025
"Can�vanas Municipio, Puerto Rico",510,14498,46108,227,8058,45962,37095,17770,3683,153,3683,910000,110200,272,10815,14498,72,029
"Coamo Municipio, Puerto Rico",486,13346,39265,9,6787,39230,32070,16305,3082,366,3082,1124500,88800,275,10264,13346,72,043
"Dorado Municipio, Puerto Rico",655,11881,37208,51,6348,37067,30051,15832,2659,327,2659,1109400,139000,412,9222,11881,72,051
"Barranquitas Municipio, Puerto Rico",412,8918,28755,43,3705,28630,22970,10764,2366,223,2366,552800,101200,402,6552,8918,72,019
"Orocovis Municipio, Puerto Rico",373,6734,21407,34,2448,21312,17442,8580,2330,154,2330,300000,89800,67,4404,6734,72,107
"A�asco Municipio, Puerto Rico",410,8933,27368,23,4424,27283,22936,12524,2064,469,2064,388900,88800,185,6869,8933,72,011
"Ceiba Municipio, Puerto Rico",485,4367,11853,28,2064,11843,9819,7441,1209,224,1209,364500,92600,95,3158,4367,72,037
"Comer�o Municipio, Puerto Rico",398,5836,19539,81,2351,19528,15911,7451,2441,232,2441,376300,89700,152,3395,5836,72,045
"Isabela Municipio, Puerto Rico",464,15012,42420,54,6743,42149,35266,20391,5735,457,5735,1509000,105300,448,9277,15012,72,071
"Lares Municipio, Puerto Rico",411,9960,26451,36,4350,26237,21950,12234,4156,125,4156,734200,88000,144,5804,9960,72,081
"Las Piedras Municipio, Puerto Rico",539,12527,37768,15,6206,37727,30899,15528,3166,236,3166,965100,118500,192,9361,12527,72,085
"San Juan Municipio, Puerto Rico",470,144573,344606,8668,76458,341130,288699,191471,67183,9164,67183,28729600,155700,4163,77390,144573,72,127
"Vega Alta Municipio, Puerto Rico",509,12229,37724,172,5898,37055,30407,15992,3879,255,3879,1083600,116000,240,8350,12229,72,143
"Maricao Municipio, Puerto Rico",312,1930,6202,0,960,6202,5130,2591,513,7,513,67100,90800,37,1417,1930,72,093
"Aibonito Municipio, Puerto Rico",457,8301,23457,12,4033,23423,19311,9800,1722,113,1722,608200,114100,308,6579,8301,72,009
"Juncos Municipio, Puerto Rico",429,12718,39128,0,6666,39067,31845,15584,3772,141,3772,1008000,108500,282,8946,12718,72,077
"Sabana Grande Municipio, Puerto Rico",474,7493,23054,49,3215,22938,19044,10839,1774,134,1774,415300,96700,1056,5719,7493,72,121
"Hormigueros Municipio, Puerto Rico",400,6253,16180,120,2753,16158,13665,7658,1679,167,1679,489700,101600,121,4574,6253,72,067
"Adjuntas Municipio, Puerto Rico",363,5861,18181,0,2441,18125,14771,7594,2670,114,2670,510200,85200,49,3191,5861,72,001
"Camuy Municipio, Puerto Rico",449,11431,32222,15,5273,32139,26637,14114,3437,241,3437,662300,100200,364,7994,11431,72,027
"Gu�nica Municipio, Puerto Rico",411,5469,16783,0,1907,16768,13699,9340,1541,254,1541,204600,90900,970,3928,5469,72,055
"Manat� Municipio, Puerto Rico",489,15337,39692,43,7440,39538,32527,18639,4108,788,4108,1339500,108400,622,11229,15337,72,091
"Naguabo Municipio, Puerto Rico",417,8317,26266,27,3760,26235,21159,11582,1873,328,1873,517800,91200,278,6444,8317,72,103
"Naranjito Municipio, Puerto Rico",486,8520,28557,34,3848,28500,23292,10455,1920,180,1920,403100,89900,81,6600,8520,72,105
"San Germ�n Municipio, Puerto Rico",413,11840,32114,9,4865,32024,26709,15682,3356,241,3356,926800,90300,251,8484,11840,72,125
"Utuado Municipio, Puerto Rico",404,9851,29402,8,4105,29382,24206,13328,3592,270,3592,622100,91600,322,6259,9851,72,141
"Arecibo Municipio, Puerto Rico",396,31788,87242,120,14191,86532,72712,41309,10196,921,10196,2258000,97400,619,21592,31788,72,013
"Arroyo Municipio, Puerto Rico",475,6002,18111,30,2473,18099,14587,8446,1404,148,1404,632900,88900,226,4598,6002,72,015
"Cata�o Municipio, Puerto Rico",458,8792,24888,572,4504,24834,20251,10654,3461,223,3461,983900,119200,193,5331,8792,72,033
"Florida Municipio, Puerto Rico",549,4291,11910,0,2266,11895,9737,4948,974,113,974,302600,93200,28,3317,4291,72,054
"Monroe County, Alabama",524,8149,21512,41,4069,21279,17132,11398,3187,234,3187,786600,103000,60,4962,8149,01,099
"Lawrence County, Alabama",540,12811,33171,18,8047,32920,26741,15373,2678,82,2678,1221100,107200,288,10133,12811,01,079
"Lee County, Alabama",831,59373,159287,495,44733,157838,128804,68081,23552,2898,23552,19764400,165000,1050,35821,59373,01,081
"Pickens County, Alabama",456,7530,20298,6,4592,18877,16837,9557,1961,61,1961,721900,97500,90,5569,7530,01,107
"Sumter County, Alabama",578,5047,12985,17,2760,12846,10765,6858,1769,125,1769,834300,74600,32,3278,5047,01,119
"Choctaw County, Alabama",533,5350,13075,0,2913,12945,10800,7344,1087,15,1087,464300,75200,23,4263,5350,01,023
"Marengo County, Alabama",531,7768,19538,0,4240,19318,15703,10325,2235,168,2235,1001800,90000,146,5533,7768,01,091
"Russell County, Alabama",800,22740,58213,57,16476,56501,45527,27426,9139,1640,9139,6938200,118600,715,13601,22740,01,113
"Covington County, Alabama",608,15008,37351,7,9233,36786,30107,18907,3898,470,3898,2074300,95500,519,11110,15008,01,039
