Name,Median Gross Rent(monthly),Total Household Income(yearly),Total population,Transportation To Work,Wage,Health Insurance Coverage,Employment Status,Bedrooms,Total Contract Rent,Total Rent Asked,Total Gross Rent,Aggregate Gross Rent,Median Value,Total Price Asked,Selected Monthly Owner Costs,Monthly Housing Cost,state_id,county_id
NAME,B25031_001E,B19001_001E,B01003_001E,B08141_016E,B19052_002E,C27021_001E,B23025_001E,B25041_001E,B25056_001E,B25061_001E,B25063_001E,B25065_001E,B25077_001E,B25085_001E,B25094_001E,B25104_001E,state,county
"Jefferson Davis County, Mississippi",576,4839,11495,49,2891,11385,9469,5952,1147,104,1147,403200,84200,44,3692,4839,28,065
"Lincoln County, Mississippi",670,12827,34432,75,8490,33876,27139,15478,3155,408,3155,1659200,99600,170,9672,12827,28,085
"Scott County, Mississippi",699,10435,28415,93,7089,28161,21740,11643,2758,271,2758,1462300,68700,93,7677,10435,28,123
"Winston County, Mississippi",685,7396,18358,19,4805,17929,14576,8859,2048,39,2048,1130500,84100,181,5348,7396,28,159
"Yazoo County, Mississippi",628,8689,27974,0,5183,23580,21984,10140,3229,292,3229,1342000,81400,276,5460,8689,28,163
"Benton County, Mississippi",509,3033,8253,0,1874,8173,6715,4238,505,112,505,247900,68800,476,2528,3033,28,009
"Franklin County, Mississippi",636,3004,7757,0,1895,7674,6009,4226,642,0,642,209700,76500,23,2362,3004,28,037
"Jasper County, Mississippi",620,6690,16529,4,4339,16472,13106,8346,1021,20,1021,447600,73400,84,5669,6690,28,061
"Jones County, Mississippi",673,24774,68454,26,17292,67681,52910,28982,6667,624,6667,3729600,92100,387,18107,24774,28,067
"Monroe County, Mississippi",611,14043,35840,24,8905,35379,28460,16577,3617,314,3617,1854000,88200,269,10426,14043,28,095
"Sunflower County, Mississippi",638,8389,26532,33,5512,22663,21135,9679,3784,249,3784,2058200,73900,118,4605,8389,28,133
"Webster County, Mississippi",580,3787,9828,14,2477,9739,7700,4848,989,34,989,502000,83100,34,2798,3787,28,155
"Adams County, Mississippi",603,11341,31547,79,6928,28945,25645,14650,4339,153,4339,2049900,92800,298,7002,11341,28,001
"Clay County, Mississippi",750,7755,19808,0,5048,19537,15816,9261,2235,312,2235,1393600,87400,79,5520,7755,28,025
"Covington County, Mississippi",665,6794,19091,44,4503,18838,14837,8668,1328,177,1328,734900,78600,22,5466,6794,28,031
"Humphreys County, Mississippi",617,3171,8539,32,2016,8450,6532,3833,1252,15,1252,549800,68900,0,1919,3171,28,053
"Saline County, Missouri",626,8562,23102,74,5988,22640,18420,10161,2662,124,2662,1602800,102000,169,5900,8562,29,195
"Madison County, Missouri",583,5002,12205,4,3321,12001,9705,5991,1367,161,1367,735600,98600,21,3635,5002,29,123
"Wright County, Missouri",561,7292,18293,0,4231,18102,14214,8708,2233,163,2233,1033600,100400,212,5059,7292,29,229
"Vernon County, Missouri",660,8170,20691,36,5652,20225,16280,9542,2479,67,2479,1493100,99000,133,5691,8170,29,217
"Nodaway County, Missouri",639,8275,22547,12,6279,21735,19303,9726,3507,415,3507,2169100,124600,178,4768,8275,29,147
"Chariton County, Missouri",515,2779,7546,0,1809,7321,6031,4158,527,35,527,248500,91600,1,2252,2779,29,041
"Grundy County, Missouri",576,3985,10039,72,2664,9870,7939,5006,1306,173,1306,637600,91400,49,2679,3985,29,079
"Morgan County, Missouri",581,7755,20137,23,4251,19764,16053,15577,1734,130,1734,1043200,122300,215,6021,7755,29,141
"Wayne County, Missouri",568,5448,13308,35,2931,13191,10855,8095,1395,89,1395,665900,74900,145,4053,5448,29,223
"Bollinger County, Missouri",655,4669,12281,45,2941,12195,9956,5876,893,52,893,467700,105400,81,3776,4669,29,017
