Median Gross Rent(monthly),Total Household Income(yearly),Total population,Transportation To Work,Wage,Health Insurance Coverage,Employment Status,Bedrooms,Total Contract Rent,Total Rent Asked,Total Gross Rent,Aggregate Gross Rent,Median Value,Total Price Asked,Selected Monthly Owner Costs,Monthly Housing Cost,Median Value 18,Value Increase Index(17-18)
544,24357,69478,414,15819,69192,56501,29385,8046,690,8046,3010900.0,152400,626,16311,24357,88200,0.0
449,8491,24548,0,3861,24541,20019,10387,3197,114,3197,710700.0,109600,193,5294,8491,73900,0.0
376,14989,42623,37,6518,40427,34571,18794,4088,232,4088,1450200.0,90800,470,10901,14989,83100,0.0
425,12975,37676,18,5716,37463,30346,15744,4319,395,4319,958800.0,97300,208,8656,12975,92800,0.0
595,520,1494,0,240,1494,1229,1512,171,243,171,65300.0,89600,26,349,520,87400,0.0
676,15223,47074,141,9640,46896,37834,17446,2683,320,2683,1142000.0,147500,489,12540,15223,78600,0.0
399,10718,29239,46,5500,29074,23348,13858,2039,106,2039,570200.0,85900,282,8679,10718,68900,0.0
478,8090,24583,31,3609,24556,19804,9935,2107,313,2107,582000.0,101900,232,5983,8090,102000,0.0
410,8919,27242,510,4840,27209,21804,11558,2525,17,2525,541900.0,105200,212,6394,8919,98600,0.0
379,10749,37585,189,4482,37382,30895,17344,2554,627,2554,308100.0,91500,2169,8195,10749,100400,1.0
686,32913,90773,863,19898,90432,76332,40052,8676,791,8676,4913500.0,191200,1403,24237,32913,99000,0.0
416,21322,55722,61,9652,54072,45638,27301,8361,1033,8361,2211800.0,119700,529,12961,21322,124600,0.0
433,16495,49726,10,7302,49581,40964,29668,6854,253,6854,965100.0,114100,364,9641,16495,91600,0.0
483,12436,33075,113,6546,32887,26770,18522,4323,254,4323,1322700.0,102300,610,8113,12436,91400,0.0
315,3033,8874,0,1421,8799,7159,3919,929,11,929,141800.0,73100,56,2104,3033,122300,1.0
332,6501,17769,0,2813,17769,14573,8973,1913,49,1913,314400.0,94800,13,4588,6501,74900,0.0
444,5079,14526,0,2347,14486,12213,9447,1373,646,1373,283100.0,122200,311,3706,5079,105400,0.0
392,7761,23659,9,4499,23477,18999,9097,2192,132,2192,395000.0,93800,166,5569,7761,155000,1.0
443,8594,26855,151,3892,26739,21897,10794,2884,365,2884,448300.0,115000,109,5710,8594,74700,0.0
547,69318,188614,2915,40797,182918,156567,83381,21503,2789,21503,8468700.0,138200,2878,47815,69318,127900,0.0
593,64056,161684,1488,39848,160992,133656,77499,19640,1994,19640,9349100.0,146400,1413,44416,64056,85600,0.0
455,16459,45431,100,8489,45377,37159,20096,5651,442,5651,1625800.0,119500,376,10808,16459,114500,0.0
499,8207,21745,15,3911,21518,17228,11375,3201,157,3201,837200.0,88000,28,5006,8207,116500,1.0
531,13056,33288,15,8429,33050,26846,15347,2613,55,2613,1133100.0,98700,281,10443,13056,116600,1.0
818,59001,156597,523,44976,154952,126616,67087,24069,2539,24069,19729300.0,157100,950,34932,59001,81300,0.0
517,12453,30058,5,7759,29540,24401,14811,3032,431,3032,1319200.0,87200,241,9421,12453,82700,0.0
429,7620,20170,62,4593,18987,16554,9538,2005,92,2005,752400.0,91800,90,5615,7620,104500,1.0
534,5073,13084,13,2889,12946,10788,6833,1799,122,1799,823500.0,69500,27,3274,5073,151100,1.0
847,261390,659460,2695,191489,652283,524242,306110,97191,11546,97191,81191800.0,149000,6042,164199,261390,114400,0.0
521,5463,13188,0,2921,13060,10850,7329,1084,14,1084,442400.0,69000,6,4379,5463,122200,1.0
596,11533,31507,27,7736,31272,24597,14132,3591,597,3591,1766700.0,87600,456,7942,11533,129400,1.0
552,7975,19743,0,4505,19526,15822,10307,2286,98,2286,1037400.0,88100,100,5689,7975,216600,1.0
759,22690,58480,62,16549,56790,45502,27170,9322,1522,9322,6948900.0,114700,628,13368,22690,120700,1.0
596,10795,25855,38,6192,25561,21387,16466,2360,453,2360,1266200.0,116300,362,8435,10795,140100,1.0
589,15285,37519,26,9523,36970,30269,18890,3809,532,3809,1895300.0,96200,559,11476,15285,84100,0.0
532,5358,13866,6,3324,13666,11123,6775,1553,151,1553,639900.0,76800,283,3805,5358,107500,1.0
599,16487,40755,28,9950,40454,31802,20309,6732,566,6732,3533500.0,80800,297,9755,16487,71900,0.0
633,38634,92590,54,25504,91721,76051,44537,12204,1109,12204,6854900.0,126800,725,26430,38634,121400,0.0
624,4309,10362,15,2519,10268,8151,5158,1146,56,1146,392100.0,63000,68,3163,4309,146000,1.0
603,7852,19358,71,4901,19141,16305,10264,2773,382,2773,1346200.0,77100,164,5079,7852,85000,1.0
622,32386,91695,30,23003,88681,73004,35859,7407,546,7407,4464700.0,146300,914,24979,32386,172400,1.0
975,76868,208721,94,60718,207053,164092,85043,15679,2006,15679,15466900.0,199500,1321,61189,76868,98300,0.0
723,32486,86937,41,23550,85000,69004,36524,6370,469,6370,4358900.0,142800,480,26116,32486,162900,1.0
528,9439,23968,2,5698,23646,19583,13594,2144,85,2144,795800.0,82900,203,7295,9439,141200,1.0
904,76133,203360,93,51520,200929,163759,110023,20663,15936,20663,17610200.0,182000,3510,55470,76133,74600,0.0
644,31097,81703,19,19932,80867,65472,37524,7826,752,7826,4332500.0,121900,380,23271,31097,83600,0.0
825,29115,80989,46,20799,75789,64931,33798,7870,533,7870,5943800.0,155300,766,21245,29115,118100,0.0
725,39560,104108,53,27419,103300,82515,46869,13990,2267,13990,9710900.0,127100,866,25570,39560,87200,0.0
607,20368,52326,2,12669,51817,42482,25019,5376,1092,5376,2546500.0,105000,839,14992,20368,75400,0.0
598,31651,80888,145,20890,77941,65310,37563,8792,747,8792,4925500.0,95200,934,22859,31651,88100,0.0
816,71507,204424,361,53755,202930,165890,89419,26587,2253,26587,21318500.0,161700,671,44920,71507,158100,0.0
657,6001,16746,0,3744,16621,13555,8481,1055,110,1055,382000.0,83900,17,4946,6001,87000,0.0
482,5338,13407,0,3390,13153,10878,6797,1256,71,1256,485800.0,89300,104,4082,5338,75500,0.0
731,19620,51073,3,14174,49425,40416,23038,6798,757,6798,5007500.0,147800,408,12822,19620,138500,0.0
622,45904,119157,60,31750,117243,94892,51778,13046,1290,13046,7868500.0,128200,1008,32858,45904,136100,1.0
637,12284,33287,3,8317,33081,27498,16010,5007,1534,5007,3145100.0,109200,467,7277,12284,129300,1.0
678,16768,43805,18,11618,43473,34509,19518,4143,447,4143,2333100.0,98600,393,12625,16768,190100,1.0
655,21983,54435,21,14495,53993,44236,26333,5974,875,5974,3672600.0,108500,673,16009,21983,165400,1.0
547,4204,10955,24,2348,10563,9295,6527,827,80,827,292300.0,87300,192,3377,4204,116400,1.0
672,18825,49393,28,13196,46471,39173,23000,7588,992,7588,5267200.0,108000,330,11237,18825,179800,1.0
483,5664,14995,0,3284,14762,12000,7753,1423,28,1423,504100.0,88800,87,4241,5664,105000,1.0
634,39061,103132,104,25322,102339,83397,47639,10965,936,10965,6147400.0,105100,495,28096,39061,117900,1.0
579,25482,71194,12,16427,70448,55678,31384,7327,1156,7327,3470000.0,102900,1327,18155,25482,83700,0.0
580,13226,37621,12,7731,34883,30205,16556,3736,482,3736,1906300.0,94500,145,9490,13226,103500,1.0
409,6019,14021,30,3818,13856,11279,7390,1459,105,1459,522200.0,71500,49,4560,6019,123500,1.0
588,8867,22530,10,5346,22276,18119,12043,2419,208,2419,1146200.0,85200,197,6448,8867,90200,1.0
585,7050,20126,0,4571,19832,16078,10008,2110,634,2110,1008600.0,88800,1060,4940,7050,73700,0.0
828,153794,414328,768,109296,406941,326953,182505,51743,9274,51743,40313000.0,124500,4198,102051,153794,115200,0.0
566,4716,12649,14,2672,12603,10118,7125,1058,208,1058,489900.0,76100,287,3658,4716,158300,1.0
512,3039,9680,0,1361,9532,7801,4748,752,71,752,217100.0,69100,216,2287,3039,101700,1.0
609,25143,64927,61,16045,64196,52131,30988,6124,290,6124,3137700.0,87300,461,19019,25143,160600,1.0
549,5773,14939,0,3527,14758,11843,6781,1477,50,1477,687500.0,111800,25,4296,5773,116100,0.0
533,3025,8533,0,1578,8480,6681,5056,967,35,967,373600.0,67700,19,2058,3025,139000,1.0
569,9191,26201,22,5860,23326,21241,11918,3446,386,3446,1772600.0,89300,228,5745,9191,134800,1.0
710,6916,22580,53,4607,20553,18415,9112,1704,89,1704,1059000.0,105500,101,5212,6916,151200,1.0
611,3670,10478,11,2381,10113,8517,4516,1100,57,1100,587700.0,66800,8,2570,3670,84300,1.0
645,45099,115527,114,31039,113964,93148,53655,13804,1072,13804,8224700.0,110100,1174,31295,45099,128200,1.0
684,13694,33895,23,9035,33513,27447,16989,4591,510,4591,2815900.0,86400,365,9103,13694,110300,1.0
546,9602,24625,12,5406,24341,19863,12704,3266,125,3266,1194900.0,93500,97,6336,9602,118400,1.0
523,6955,16657,0,4458,16468,13535,8453,1610,82,1610,684800.0,83200,117,5345,6955,107900,1.0
846,89776,227120,655,67237,222268,179373,103967,36713,3827,36713,31193200.0,124100,1782,53063,89776,144200,1.0
615,34588,94738,112,22845,93913,73909,40590,10151,648,10151,5794500.0,118500,871,24437,34588,171800,1.0
649,20690,57667,29,13926,57207,45924,24161,4444,461,4444,2320300.0,122200,376,16246,20690,152400,1.0
603,6727,17110,0,4436,16828,13972,9055,1196,222,1196,612900.0,112600,251,5531,6727,131100,1.0
801,142253,353213,336,109542,348398,283489,157000,46222,4609,46222,37041500.0,173400,2668,96031,142253,111900,0.0
932,21054,55036,14,15554,54170,42974,23152,5624,311,5624,5524000.0,143000,210,15430,21054,87200,0.0
614,16369,40756,14,10261,40211,33010,22258,4606,346,4606,2520400.0,107000,422,11763,16369,94900,0.0
589,10693,26572,4,6678,26211,21448,12756,2820,186,2820,1396900.0,87800,250,7873,10693,157500,1.0
494,3841,10919,0,1869,10621,8560,5709,1453,25,1453,324200.0,81600,66,2388,3841,75300,0.0
1294,4538,13773,2,3823,13196,10482,5373,1859,67,1859,2050000.0,267700,92,2679,4538,101100,0.0
871,678,2303,7,542,2269,2023,1669,145,8,145,104400.0,224200,51,533,678,122900,0.0
974,2849,9439,10,2368,9174,7371,6169,757,193,757,653100.0,252200,124,2092,2849,100500,0.0
994,21779,57961,245,15553,56797,46161,31016,6271,603,6271,5994600.0,234600,624,15508,21779,106100,0.0
1277,1218,5784,0,1114,5588,4892,1980,851,58,851,549100.0,238800,17,367,1218,208900,0.0
1051,358,917,1,294,902,740,941,153,49,153,121200.0,186700,6,205,358,160700,0.0
