Median Gross Rent(monthly),Total Household Income(yearly),Total population,Transportation To Work,Wage,Health Insurance Coverage,Employment Status,Bedrooms,Total Contract Rent,Total Rent Asked,Total Gross Rent,Aggregate Gross Rent,Median Value,Total Price Asked,Selected Monthly Owner Costs,Monthly Housing Cost,Median Value 18,Value Increase Index(17-18)
1142,283256,889954,5050,242537,884817,672871,302157,94727,7919,94727,109752700.0,185200,4494,188529,283256,88200,0.0
941,24588,75099,94,19581,74958,57012,27464,6658,553,6658,5925900.0,134300,595,17930,24588,56800,0.0
551,3537,12963,8,2320,11868,10623,4494,971,123,971,439500.0,82200,28,2566,3537,57800,0.0
483,2576,6788,0,1503,6688,5152,3003,736,40,736,275800.0,63100,89,1840,2576,60100,0.0
863,37120,102623,368,28521,101698,80180,40380,12827,468,12827,10671400.0,140500,677,24293,37120,49800,0.0
1014,48426,140152,507,39251,138979,107566,52184,16542,1194,16542,17112500.0,140100,761,31884,48426,235700,1.0
748,9092,25048,0,6154,24860,19299,10809,3544,129,3544,2548000.0,110500,149,5548,9092,104600,0.0
535,5210,14999,3,3483,14911,11255,6499,1390,174,1390,612000.0,77900,132,3820,5210,72800,0.0
573,3077,8962,2,2100,8536,7241,3953,816,88,816,387000.0,76500,99,2261,3077,91800,1.0
693,5642,14654,10,3867,14503,11799,6596,1255,46,1255,747800.0,111800,145,4387,5642,185100,1.0
564,2864,7206,0,1647,7090,5607,3694,1132,13,1132,464500.0,67300,19,1732,2864,81600,1.0
955,29937,88482,617,23190,87695,68711,33421,9417,1587,9417,9064000.0,148600,584,20520,29937,132100,0.0
648,13903,35688,210,9083,33350,28197,16552,5126,316,5126,2867300.0,78500,256,8777,13903,85400,1.0
609,10362,29833,26,6539,27735,23287,12229,3825,166,3825,2058300.0,107300,202,6537,10362,85800,0.0
477,1972,7952,0,965,6121,6764,2619,713,54,713,244100.0,46800,9,1259,1972,113300,1.0
525,2676,8896,11,1499,6829,7349,3520,720,59,720,276100.0,69800,9,1956,2676,134300,1.0
687,16330,45527,54,11089,43600,37731,20459,7326,668,7326,4951900.0,108800,170,9004,16330,39700,0.0
710,6489,18363,0,4448,18359,14591,7659,1673,125,1673,972200.0,128900,115,4816,6489,153500,1.0
787,26632,73742,240,20664,72880,60450,30458,12475,1532,12475,10124500.0,131200,408,14157,26632,79900,0.0
816,46291,123554,2107,35611,122682,104232,52305,28459,2692,28459,24506900.0,154600,630,17832,46291,120000,0.0
1131,67054,196325,929,44939,194927,157779,86348,22112,3119,22112,22587100.0,316000,2213,44942,67054,93100,0.0
1653,311451,990060,41392,248916,941301,799878,346374,138209,9138,138209,235080400.0,626400,2076,173242,311451,110100,0.0
1336,54381,164094,2110,41389,162735,131136,72093,22158,7971,22158,29142700.0,569100,499,32223,54381,112700,0.0
1308,22563,71093,260,16398,70326,57037,30633,8350,1932,8350,10370200.0,520100,406,14213,22563,98300,0.0
867,53,86,0,42,77,84,95,51,8,51,27900.0,-666666666,0,2,53,145600,1.0
730,1581,4284,0,1030,4253,3193,1967,338,15,338,152100.0,151600,40,1243,1581,262200,1.0
628,7827,23472,58,5912,23123,16590,8619,2372,205,2372,1210000.0,136900,52,5455,7827,190000,1.0
740,6404,16850,0,3995,16717,13499,7224,1616,119,1616,1069700.0,148800,250,4788,6404,238000,1.0
789,1609,5296,27,1217,5248,3806,1994,494,102,494,264300.0,127200,36,1115,1609,192200,1.0
803,3532,10104,14,2133,10026,8420,12097,859,33,859,602500.0,258000,218,2673,3532,388900,1.0
604,1736,3946,0,999,3919,3359,2672,350,42,350,187800.0,166500,33,1386,1736,189900,1.0
683,4286,13120,34,3352,13083,9203,4726,837,0,837,530800.0,168200,35,3449,4286,201400,1.0
693,16308,40014,45,11390,39392,32375,17686,4753,467,4753,3244700.0,172500,247,11555,16308,156700,0.0
735,7741,23039,59,5922,22919,16526,8397,2778,126,2778,1843000.0,144400,152,4963,7741,197800,1.0
902,58873,150128,207,41662,148871,118783,67941,17144,842,17144,15497100.0,212900,956,41729,58873,183400,0.0
596,1626,3824,2,995,3780,3042,1909,425,31,425,221400.0,120000,34,1201,1626,133200,1.0
622,7357,20448,10,5597,20371,15142,7942,2130,131,2130,1145000.0,121800,83,5227,7357,281800,1.0
754,30096,82248,90,23380,81298,61787,32465,9635,482,9635,7265800.0,154200,414,20461,30096,191900,1.0
624,4190,11384,19,2929,11256,8711,4857,1325,51,1325,576700.0,125700,61,2865,4190,211300,1.0
984,8273,21583,94,5921,21557,17228,15287,2745,304,2745,2580700.0,390300,396,5528,8273,265900,0.0
750,3004,6968,10,1844,6944,5919,5441,514,50,514,305700.0,185100,124,2490,3004,176600,0.0
642,4490,11323,0,2487,11245,9034,5359,1173,30,1173,761600.0,181300,84,3317,4490,136100,0.0
596,1049,2613,16,676,2572,2140,1338,179,65,179,94300.0,110700,75,870,1049,139500,1.0
563,2533,6862,0,1818,6793,5052,3268,409,68,409,184300.0,130600,36,2124,2533,359300,1.0
689,5550,15110,4,4019,15024,11439,6169,1786,42,1786,1045900.0,134400,62,3764,5550,218400,1.0
910,164389,435117,949,126644,428436,339996,172399,52151,2264,52151,48878000.0,219900,2887,112238,164389,179900,0.0
659,30790,84113,554,23114,82996,64109,33870,9590,790,9590,6419400.0,148300,643,21200,30790,203200,1.0
583,2313,5942,8,1589,5904,4524,4045,496,14,496,247000.0,142100,108,1817,2313,176600,1.0
652,14903,45369,383,11217,45076,32419,16513,3756,334,3756,2386600.0,147400,357,11147,14903,162200,1.0
759,38400,110404,1357,29952,109149,79518,41593,11280,1140,11280,9232600.0,161000,569,27120,38400,270800,1.0
573,370,886,0,217,886,685,810,98,11,98,40600.0,173300,5,272,370,191700,1.0
812,69303,207027,193,51944,205466,152326,73265,22469,1079,22469,17446200.0,144000,1356,46834,69303,288200,1.0
695,3706,8533,4,2171,7535,7317,4555,858,50,858,545700.0,134400,71,2848,3706,228000,1.0
778,8470,27410,279,7027,27376,19011,9105,1609,131,1609,1063600.0,166200,276,6861,8470,216800,1.0
675,15448,38697,113,12330,38531,32324,16626,7218,303,7218,5211000.0,207200,171,8230,15448,168200,0.0
624,1850,4141,15,1214,4115,3635,3196,440,107,440,174200.0,173300,94,1410,1850,95300,0.0
616,3703,7755,0,2207,7680,6558,4828,1092,126,1092,504900.0,173400,196,2611,3703,212500,1.0
714,8571,22839,12,6124,22694,17312,9263,2229,94,2229,1536800.0,138900,139,6342,8571,241900,1.0
693,3508,9050,23,2345,8966,7246,4706,912,30,912,557600.0,150800,243,2596,3508,222600,1.0
752,17563,41855,82,11040,41541,34439,24935,4781,248,4781,3854500.0,222700,414,12782,17563,757300,1.0
575,313,1055,0,253,1055,741,553,140,0,140,33900.0,98700,41,173,313,281500,1.0
777,10062,26232,38,7683,23957,19998,12394,4239,345,4239,3105600.0,145200,165,5823,10062,325000,1.0
738,4383,12889,51,3149,12337,9779,8813,874,231,874,641200.0,157700,185,3509,4383,126300,0.0
673,10633,38241,85,9282,38032,28805,13292,5703,2294,5703,4105900.0,190500,100,4930,10633,167600,0.0
661,5614,12490,13,3593,12327,10366,7096,1681,179,1681,1047400.0,117500,227,3933,5614,133200,1.0
678,6480,16275,29,3872,15648,13448,8757,1356,108,1356,754100.0,164600,242,5124,6480,176800,1.0
906,3764,10776,52,3081,10776,8079,5610,1022,273,1022,867900.0,291600,201,2742,3764,199400,0.0
702,2544,7667,19,1929,7608,5530,2992,760,33,760,425300.0,132600,167,1784,2544,107400,0.0
658,3979,9996,4,2345,9863,7949,4622,1069,33,1069,591300.0,149100,64,2910,3979,550000,1.0
621,7523,18264,10,5200,18086,14809,9254,1455,440,1455,783600.0,85100,182,6068,7523,96400,1.0
796,107241,266153,1945,78044,263563,213994,118806,31507,2559,31507,24887200.0,130200,2510,75734,107241,339600,1.0
971,19006,50333,140,14889,50055,38855,20566,5311,169,5311,4945300.0,188300,256,13695,19006,96900,0.0
851,40239,110801,588,29833,108546,87482,45400,12728,1297,12728,10655500.0,140100,557,27511,40239,95000,0.0
622,6620,15794,0,4582,15545,12774,7407,1494,143,1494,833300.0,105100,102,5126,6620,203600,1.0
1224,340669,931826,32561,277693,925989,741374,358421,90869,5867,90869,114797500.0,289900,5706,249800,340669,155000,0.0
779,83673,198134,1367,61838,196077,158182,91229,25621,1513,25621,19996400.0,136100,1017,58052,83673,94200,0.0
465,2432,6776,17,1363,6642,5282,3984,718,135,718,329700.0,53200,98,1714,2432,301600,1.0
702,5230,12416,4,3795,12264,9967,5709,1256,30,1256,840700.0,132500,45,3974,5230,237700,1.0
643,12060,32829,8,8435,28914,27156,13905,2934,255,2934,1748800.0,99900,472,9126,12060,88000,0.0
680,13894,34442,44,10009,32406,28483,15524,4316,309,4316,2859000.0,103400,170,9578,13894,224800,1.0
1044,1956561,5238541,463637,1500656,5192360,4195610,2183987,844178,63216,844178,945226600.0,227400,38206,1112383,1956561,263900,1.0
712,20830,51619,62,15138,51134,41177,22636,5236,380,5236,3583200.0,139900,344,15594,20830,218200,1.0
666,44310,107587,707,30938,105020,86235,50467,13312,1329,13312,8940400.0,95900,886,30998,44310,210000,1.0
634,19604,45839,94,13893,45092,37027,22004,6067,627,6067,3880100.0,97700,342,13537,19604,94400,0.0
582,7117,16569,40,4654,16528,13190,7971,1666,106,1666,876800.0,78600,136,5451,7117,190400,1.0
545,6144,14186,36,4120,13848,11379,7185,1392,189,1392,630200.0,69700,130,4752,6144,155300,1.0
759,14547,38942,63,10958,38365,30577,15478,2527,112,2527,1995000.0,160300,199,12020,14547,178000,1.0
625,16346,39302,50,9892,38825,31621,18660,4579,230,4579,2478200.0,69900,533,11767,16346,161800,1.0
584,3019,6927,12,2077,6866,5805,3861,622,16,622,312200.0,88100,92,2397,3019,221900,1.0
630,11481,31597,117,7672,31242,26929,14443,3822,1681,3822,2407000.0,94600,318,7659,11481,264800,1.0
1146,110860,308043,4100,90233,306816,242245,117813,22849,1340,22849,26606200.0,212600,1834,88011,110860,146300,0.0
811,66070,173231,1373,52528,172081,139450,71852,23209,3011,23209,20410600.0,163800,684,42861,66070,344000,1.0
617,5856,14711,0,4202,14407,11421,6405,1415,76,1415,950800.0,107500,95,4441,5856,112700,1.0
552,8223,21467,32,5513,18847,17855,9565,2086,435,2086,937500.0,80500,162,6137,8223,253000,1.0
542,6629,15930,6,4497,15409,12753,7973,1492,131,1492,685600.0,74700,201,5137,6629,369300,1.0
407,1639,4360,0,743,4178,3723,2778,240,10,240,81600.0,84100,46,1399,1639,169500,1.0
692,60064,146205,1039,43290,143569,117081,66063,18630,2256,18630,13248100.0,115600,1027,41434,60064,180100,1.0
824,103125,264433,4920,75386,258591,208680,119355,36016,3207,36016,29499000.0,122600,2374,67109,103125,110800,0.0
553,9183,21906,29,6122,21713,17799,10564,1768,80,1768,929500.0,86800,164,7415,9183,195100,1.0
586,4915,11568,7,3253,11491,9274,5564,1204,137,1204,670800.0,79000,131,3711,4915,228300,1.0
850,81418,207946,6056,63198,205992,173003,90783,37013,4808,37013,34248600.0,154800,1952,44405,81418,164000,1.0
600,1881,4897,23,1162,4818,4009,2870,335,77,335,143900.0,110900,53,1546,1881,116400,1.0
560,4287,10899,15,2990,10773,8704,4881,898,63,898,438600.0,94000,70,3389,4287,271400,1.0
629,5684,13470,9,4016,13062,10764,6336,1649,83,1649,939500.0,100600,68,4035,5684,213000,1.0
653,9795,22046,95,6720,21888,18388,13686,2118,260,2118,1278300.0,143300,202,7677,9795,207900,1.0
1080,175930,529402,6643,143418,526131,405046,185566,46956,2107,46956,51984600.0,223400,2546,128974,175930,384100,1.0
1249,39882,122933,1918,35264,122623,90686,41463,7237,196,7237,9132700.0,214700,267,32645,39882,168900,0.0
608,6271,16457,0,4342,14017,13623,7047,1812,58,1812,968700.0,72400,109,4459,6271,285300,1.0
577,2066,6791,7,1409,4809,5878,2451,438,12,438,227500.0,88600,54,1628,2066,162300,1.0
610,16001,38305,56,11100,37607,30446,18228,4108,352,4108,2260400.0,71900,206,11893,16001,238300,1.0
636,4900,11925,0,3327,11660,9824,5907,829,116,829,463100.0,103300,127,4071,4900,275800,1.0
615,6034,13904,0,4101,13698,11338,7058,1372,31,1372,764300.0,81000,90,4662,6034,116000,1.0
632,11845,28457,10,8371,28018,22940,13508,2848,248,2848,1684600.0,96800,221,8997,11845,233800,1.0
632,13892,33562,77,9369,31656,27395,15593,3443,232,3443,2039900.0,87500,366,10449,13892,197400,1.0
529,5624,13393,3,3796,13227,10778,6413,1177,21,1177,534900.0,77200,232,4447,5624,123800,1.0
411,2272,5226,4,1436,5226,4210,2748,528,44,528,179300.0,71500,64,1744,2272,130800,1.0
665,23942,59115,235,16934,58476,49469,28921,11236,2532,11236,7413100.0,108600,567,12706,23942,265600,1.0
827,13227,33739,48,10153,33471,27009,13931,2375,140,2375,2068100.0,195500,269,10852,13227,344500,1.0
756,74515,186145,2006,54805,183888,146373,83753,26093,3509,26093,19975800.0,128000,1977,48422,74515,200500,1.0
517,6686,17267,0,4493,17116,13947,7993,1321,163,1321,621900.0,98600,96,5365,6686,225200,1.0
753,114491,287512,1448,84663,284338,227253,125800,38768,2804,38768,29962200.0,115900,2044,75723,114491,85600,0.0
779,6676,16433,50,5131,16386,13214,7389,1224,98,1224,914800.0,128100,80,5452,6676,112200,0.0
525,2246,5691,7,1252,5685,4593,3170,590,66,590,277400.0,63500,54,1656,2246,171800,1.0
608,2856,7181,13,1890,7103,6024,3454,579,98,579,316100.0,83400,35,2277,2856,300100,1.0
596,2330,5551,12,1662,5451,4489,2662,458,37,458,244600.0,85600,39,1872,2330,116500,1.0
608,7669,17603,17,5204,17320,14341,8823,1991,191,1991,1071700.0,80000,119,5678,7669,109200,1.0
668,6132,17034,25,4213,15779,14191,7211,1329,365,1329,800800.0,115200,107,4803,6132,141300,1.0
852,18709,53638,67,14258,53247,41261,20054,3889,203,3889,3429700.0,145700,352,14820,18709,285900,1.0
666,13816,33619,116,9971,33253,27107,15696,3298,343,3298,2032000.0,106800,372,10518,13816,168700,1.0
616,6573,14704,44,4319,14535,12176,8458,1525,106,1525,835500.0,99400,126,5048,6573,240000,1.0
643,21006,52540,71,14853,51845,44229,23543,8010,1151,8010,5232900.0,93800,243,12996,21006,557000,1.0
605,7665,19214,11,5269,17334,15845,8693,1686,84,1686,953100.0,82900,148,5979,7665,346500,1.0
613,8831,22215,0,6263,21860,18058,10100,1652,267,1652,959700.0,135400,235,7179,8831,186400,1.0
645,2438,5771,0,1731,5763,4772,3125,493,13,493,269800.0,120800,40,1945,2438,669400,1.0
562,6704,16176,8,4864,15900,13090,7565,1484,212,1484,701500.0,98000,75,5220,6704,119700,1.0
612,7659,21980,67,5111,20167,17939,9297,1475,168,1475,824100.0,84000,272,6184,7659,70800,0.0
695,13416,34670,28,9466,31602,28594,15098,3511,381,3511,2324200.0,116500,418,9905,13416,245100,1.0
683,11011,29488,40,7892,25981,24546,12081,2995,230,2995,1996800.0,101300,165,8016,11011,334600,1.0
658,18663,45960,38,13094,45434,37300,21639,4353,393,4353,2771300.0,98400,552,14310,18663,324400,1.0
544,6460,15953,0,4322,15750,12799,7512,1864,197,1864,951300.0,83200,144,4596,6460,220700,1.0
584,9938,24430,45,6302,23957,19711,11719,2730,214,2730,1342900.0,70500,255,7208,9938,243800,1.0
640,5897,14260,38,4221,14052,11486,6635,1266,37,1266,656000.0,108100,116,4631,5897,117400,1.0
627,11234,29173,65,7484,25244,24076,13107,2467,218,2467,1313100.0,81000,377,8767,11234,91700,1.0
673,23468,56823,38,16921,55940,45519,25820,5797,511,5797,3816500.0,102200,660,17671,23468,230600,1.0
612,27461,66787,135,19715,65509,53428,30167,8088,701,8088,4964800.0,120200,610,19373,27461,204400,1.0
783,14183,37640,191,10468,35491,30582,15704,2743,130,2743,2229800.0,142900,243,11440,14183,236800,1.0
887,37420,104473,903,29895,103721,84004,41143,16281,1099,16281,15150300.0,166800,479,21139,37420,165000,0.0
487,2810,6570,3,2055,6538,5232,3183,463,15,463,225900.0,73500,62,2347,2810,170000,1.0
568,3723,9608,0,2493,9547,7658,4350,687,29,687,442700.0,99000,35,3036,3723,95100,0.0
623,15244,38358,132,10577,35819,30678,16954,4065,248,4065,2419600.0,92700,109,11179,15244,139900,1.0
657,31355,79207,233,21015,76608,62372,36121,9427,1264,9427,5876900.0,75900,3203,21928,31355,113500,1.0
1112,226668,687727,12758,185785,680356,530285,241498,42588,3587,42588,48717300.0,216400,4334,184080,226668,119400,0.0
697,26862,67477,135,18305,65458,54057,31082,7466,996,7466,4994900.0,106400,504,19396,26862,73500,0.0
669,6809,15924,0,5010,15699,12708,7787,1748,74,1748,1123200.0,87400,63,5061,6809,179800,1.0
674,7580,19830,0,5579,19665,15399,8431,2085,220,2085,1349300.0,102700,129,5495,7580,105700,0.0
610,13450,34164,61,10140,33765,26890,14816,3007,243,3007,1803100.0,137300,152,10443,13450,93000,0.0
631,14069,35733,32,9459,33129,29471,16296,3163,322,3163,1921200.0,84800,335,10906,14069,104800,1.0
588,5087,13311,11,3345,13022,10818,6404,1111,151,1111,583100.0,76900,122,3976,5087,33800,0.0
581,3413,8259,43,2174,8179,6632,4108,724,32,724,311500.0,91500,57,2689,3413,97800,1.0
352,1452,4161,7,788,4080,3528,2195,287,42,287,92100.0,63200,71,1165,1452,67200,1.0
624,19991,49649,30,13690,48907,39799,22161,4356,410,4356,2537600.0,115800,413,15635,19991,121000,1.0
620,4486,12899,3,2687,10612,10893,5626,831,72,831,416100.0,96600,90,3655,4486,92200,0.0
600,20981,51374,64,13684,48604,42434,23958,7119,297,7119,4157100.0,81700,378,13862,20981,112600,1.0
1127,244523,704476,15392,198145,689014,549765,262553,64998,4891,64998,76173500.0,251400,4266,179525,244523,67200,0.0
655,14379,36812,10,10343,34348,29742,15910,3947,382,3947,2423300.0,109500,330,10432,14379,172800,1.0
714,6084,14594,15,3631,14363,11719,7135,1613,0,1613,1090600.0,82500,126,4471,6084,90500,1.0
543,2111,5109,21,1439,5059,4105,2453,514,49,514,216700.0,87500,29,1597,2111,137300,1.0
719,54751,134695,273,40669,132156,107082,58584,13026,1223,13026,9888300.0,137300,715,41725,54751,143700,1.0
597,5160,12880,1,3789,12727,10120,5831,1374,139,1374,725400.0,76800,90,3786,5160,95400,1.0
589,6802,17429,44,4911,17230,14055,7694,1718,148,1718,984600.0,83900,64,5084,6802,92000,1.0
869,55014,144436,2417,43211,143445,124110,60757,25221,2214,25221,23661700.0,163900,679,29793,55014,116800,0.0
633,6987,16620,36,5028,16430,13292,7855,1814,165,1814,1000600.0,93500,126,5173,6987,135100,1.0
747,71733,202924,399,56801,200465,152334,78508,22493,1824,22493,16425600.0,130800,1517,49240,71733,120500,0.0
665,8792,22966,6,5985,22955,18297,11088,1742,108,1742,929200.0,101600,187,7050,8792,126400,1.0
562,4007,10598,13,2486,10532,8559,5543,673,111,673,316800.0,86700,12,3334,4007,112800,1.0
640,14840,38248,82,10709,37521,30475,16399,3884,198,3884,2359600.0,84100,386,10956,14840,75800,0.0
604,12653,32431,3,8786,32132,26096,15242,2567,362,2567,1325800.0,95900,480,10086,12653,92000,0.0
836,367215,939964,8143,282291,929787,730165,421152,168781,18527,168781,145678500.0,123500,5689,198434,367215,104800,0.0
665,26397,66972,88,18061,65748,53898,31325,8606,1878,8606,5603900.0,96500,591,17791,26397,93100,0.0
676,26122,67615,49,17894,66755,55080,30453,8264,1011,8264,5455400.0,87600,1047,17858,26122,124300,1.0
736,44448,111151,95,32332,108005,89795,50087,12142,920,12142,8775300.0,126100,800,32306,44448,97400,0.0
650,10680,26375,3,7915,25958,20903,11787,2487,71,2487,1403300.0,96000,284,8193,10680,99200,0.0
1026,57153,158170,55,46920,155413,122198,59589,12176,1096,12176,12306200.0,171600,434,44977,57153,103600,0.0
586,16524,42379,12,12761,41577,33167,17748,3805,248,3805,2254500.0,146000,264,12719,16524,86100,0.0
668,8843,22835,14,6594,22750,18007,9671,1744,94,1744,1116100.0,152200,264,7099,8843,82100,0.0
868,27576,72776,22,21831,72176,57538,29351,6218,342,6218,5437900.0,161800,630,21358,27576,91300,0.0
729,16549,43779,79,12135,43125,34244,18818,4522,288,4522,3048700.0,114600,397,12027,16549,188700,1.0
678,34538,82457,114,23742,81532,65980,39067,10958,1206,10958,7300700.0,101300,848,23580,34538,108100,1.0
716,2479,5911,6,1848,5860,4875,2820,520,43,520,333400.0,142400,10,1959,2479,101000,0.0
673,8551,20957,100,6058,20801,16971,10117,1789,119,1789,1034400.0,110200,394,6762,8551,123200,1.0
563,6112,17062,31,4188,15620,13787,8146,1391,78,1391,629600.0,86700,374,4721,6112,112400,1.0
623,10495,25203,42,7422,24840,20076,11706,2531,116,2531,1432700.0,79500,267,7964,10495,122300,1.0
645,13469,33481,28,10227,33097,26599,14596,2758,91,2758,1779400.0,131600,167,10711,13469,106800,0.0
707,3397,8685,13,2525,8599,6764,3919,888,29,888,570900.0,84900,134,2509,3397,299600,1.0
886,6011,15007,14,4214,14875,12645,8583,989,101,989,788100.0,174800,341,5022,6011,493500,1.0
704,11961,32455,10,9208,31850,24863,13301,3409,307,3409,2287400.0,103700,254,8552,11961,208400,1.0
734,13162,37543,5,9840,34443,31061,14957,3469,162,3469,2553500.0,120300,428,9693,13162,470500,1.0
741,2860,7225,3,1884,7168,5847,3248,784,79,784,573900.0,109900,33,2076,2860,208200,1.0
639,10570,27807,13,7518,27533,21964,12335,2536,126,2536,1337600.0,106200,327,8034,10570,167700,1.0
641,11482,32777,38,8425,32308,24213,12553,3004,351,3004,1899000.0,115400,138,8478,11482,197000,1.0
735,18667,49564,89,14137,49016,39452,20361,3897,439,3897,2857800.0,160800,468,14770,18667,172200,1.0
687,18096,48649,26,12051,45400,39912,21214,4869,963,4869,3168600.0,94800,620,13227,18096,191100,1.0
663,14986,37763,40,11051,36959,30803,17071,5390,620,5390,3315800.0,87200,187,9596,14986,168500,1.0
674,18432,45669,24,13146,45029,36757,21105,3909,479,3909,2320800.0,109200,724,14523,18432,337800,1.0
742,51647,129641,102,35775,124831,104437,59002,15953,1518,15953,11217300.0,91900,1460,35694,51647,207000,1.0
585,7460,19229,11,5207,17575,15562,8618,1695,119,1695,888700.0,103000,166,5765,7460,187900,1.0
634,5096,12471,6,3638,12250,10001,5786,877,35,877,464000.0,89300,100,4219,5096,171500,1.0
665,5296,12761,8,3825,12636,10235,6096,1252,109,1252,673500.0,92600,67,4044,5296,318400,1.0
698,10140,25599,0,7350,25357,20625,11437,1718,225,1718,1102400.0,138800,110,8422,10140,173500,1.0
729,13810,34459,33,10384,34207,28189,19779,3067,294,3067,1941100.0,136300,503,10743,13810,275000,1.0
763,3395,8269,9,2463,8182,6649,3722,545,71,545,338000.0,112500,40,2850,3395,216900,1.0
581,6533,15644,43,4221,15437,12659,7506,1631,56,1631,824100.0,74600,214,4902,6533,170800,1.0
662,10944,27832,9,8382,27221,21724,11805,2255,381,2255,1432600.0,121000,257,8689,10944,181800,1.0
767,29046,76481,317,22201,75442,60790,32501,8053,1160,8053,5591000.0,159700,758,20993,29046,139100,0.0
719,142696,367747,1426,110240,364079,282242,155963,45255,4558,45255,32832100.0,119400,2200,97441,142696,216000,1.0
767,10354,26480,47,7902,26154,20775,11320,3172,171,3172,2233700.0,121800,135,7182,10354,187000,1.0
708,46304,115938,938,33281,114544,96707,52668,16572,1794,16572,11785200.0,88600,860,29732,46304,209000,1.0
706,13465,36035,20,9781,33829,29201,15416,4006,286,4006,2494000.0,85500,433,9459,13465,274500,1.0
723,12677,32293,47,9461,30590,26597,14417,3584,383,3584,2559300.0,120000,512,9093,12677,139800,1.0
735,10753,27840,55,8111,27599,22156,12238,2766,128,2766,1893200.0,99900,126,7987,10753,143100,1.0
896,54867,149359,234,43152,147386,115892,59511,15893,1062,15893,14372200.0,149700,1567,38974,54867,125100,0.0
784,25805,69533,45,19561,68698,55402,28199,6042,660,6042,4552200.0,147200,314,19763,25805,166300,1.0
671,13336,33596,10,10018,33011,26659,14968,3024,237,3024,1849000.0,105700,144,10312,13336,134600,1.0
715,5530,14056,24,4059,13840,11415,6054,1381,100,1381,774200.0,112500,155,4149,5530,149400,1.0
589,7830,19623,0,5308,19371,15574,9213,1930,191,1930,992800.0,90400,230,5900,7830,197500,1.0
743,100694,268613,1783,75602,266134,211358,116078,32333,6134,32333,23209100.0,118600,2173,68361,100694,129900,1.0
733,30265,78720,48,22988,78008,61649,38037,7633,605,7633,5475500.0,142700,901,22632,30265,110100,0.0
681,17249,46752,86,12694,46257,36164,20107,4231,387,4231,2685600.0,130100,490,13018,17249,173200,1.0
763,4259,10617,0,3001,10514,8241,5217,1254,64,1254,928500.0,114300,163,3005,4259,130800,1.0
751,74923,181831,1290,55933,179469,146253,83823,26934,2176,26934,20219700.0,121200,1055,47989,74923,121300,0.0
614,5199,12214,25,3475,12054,9913,6035,1226,95,1226,673300.0,68500,231,3973,5199,184300,1.0
680,7819,19994,9,5779,19882,16008,9531,1428,108,1428,926000.0,124100,176,6391,7819,169000,1.0
769,8892,23722,0,6252,23334,18863,10564,2224,434,2224,1469700.0,98800,303,6668,8892,113100,1.0
696,14693,39450,10,10871,39182,31582,16872,2553,142,2553,1542600.0,136400,335,12140,14693,233600,1.0
690,14616,36520,49,10755,36082,29425,15993,3457,280,3457,2342500.0,102700,357,11159,14616,155300,1.0
729,42975,110839,383,31730,102536,89517,49014,12258,730,12258,8719200.0,126700,806,30717,42975,139800,1.0
663,12920,31848,90,9278,30840,26012,14175,3353,189,3353,2095100.0,96700,402,9567,12920,145600,1.0
703,9723,24279,12,7220,23989,19277,13054,2100,10,2100,1299200.0,105800,338,7623,9723,150200,1.0
764,12220,33448,73,9217,33093,26387,13461,2883,210,2883,2026800.0,153200,249,9337,12220,164700,1.0
608,8195,21107,31,5603,20901,16301,9230,2125,225,2125,1167400.0,85000,128,6070,8195,142600,1.0
506,4251,10219,10,2960,10015,8176,4811,829,29,829,357400.0,97900,78,3422,4251,150300,1.0
899,63251,167391,1089,48671,165816,134263,67777,15549,869,15549,14445400.0,173100,2167,47702,63251,117100,0.0
754,17603,44339,44,13287,43651,35210,19197,4678,586,4678,3464100.0,125300,536,12925,17603,169900,1.0
682,11150,28372,18,8288,27900,22491,12230,2601,289,2601,1773400.0,139500,235,8549,11150,149500,1.0
650,8101,20610,15,5840,20394,16538,9033,1457,126,1457,846300.0,117900,188,6644,8101,130200,1.0
668,7601,20900,14,5049,18838,17175,8931,2073,276,2073,1227500.0,80900,196,5528,7601,144000,1.0
725,6365,15290,24,4712,15107,12548,7004,1294,46,1294,730400.0,110300,253,5071,6365,110400,0.0
823,68771,186081,2440,55728,184375,151543,74721,31511,2363,31511,27621100.0,144300,750,37260,68771,153700,1.0
717,41164,107723,499,29962,103558,88039,46876,16256,1688,16256,11959700.0,90700,1003,24908,41164,113200,1.0
826,23742,61581,72,18458,60870,48258,25315,4624,315,4624,3786000.0,158100,174,19118,23742,163800,0.0
1103,114282,309687,267,97167,308195,231512,120138,25098,2438,25098,28440000.0,240000,1937,89184,114282,152300,0.0
695,16317,42524,16,12552,42171,33280,17823,3828,441,3828,2415400.0,113600,375,12489,16317,187000,1.0
717,12064,38720,39,9803,38548,27215,14554,2166,164,2166,1355700.0,172500,168,9898,12064,157700,0.0
854,31472,81024,220,23793,80159,63671,33897,9127,975,9127,7604800.0,139400,498,22345,31472,167000,1.0
650,6672,16765,35,4681,16580,13358,7496,1830,252,1830,1156700.0,100000,259,4842,6672,152000,1.0
888,24228,63013,21,20075,62385,47958,25977,5861,563,5861,5538300.0,207500,353,18367,24228,167800,0.0
639,7934,20296,9,5401,20081,16009,9713,1793,213,1793,1120500.0,93600,158,6141,7934,151400,1.0
